epoch,reward
0,0.7231859472405366
1,0.44745196836543044
2,0.39295787063087484
3,0.5644610347543498
4,0.3783379672356673
5,0.37417076595483495
6,0.3473341189704203
7,0.3304209668870584
8,0.4966423562614225
9,0.5895586192570325
10,0.4819712748458612
11,0.5932113702183326
12,0.3669893908531632
13,0.45250211993628286
14,0.3730150150121591
15,1.0957992248373
16,0.34677708180667666
17,0.3675950782331421
18,0.4291172497107755
19,0.3719533735488863
20,0.32165469953001913
0,4.199897315532977
1,4.199917419007492
2,4.199917419007492
3,4.199917419007492
4,4.199917419007492
5,4.199917419007492
6,4.199917419007492
7,4.199917419007492
8,4.199917419007492
9,4.199917419007492
10,4.199917419007492
11,4.199917419007492
12,4.199917419007492
13,4.199917419007492
14,4.199917419007492
15,4.199917419007492
16,4.199917419007492
17,4.199917419007492
18,4.199917419007492
19,4.199917419007492
20,4.199917419007492
21,4.199917419007492
0,-0.9351189783878193
1,-0.7490845137583795
2,-0.9816200982600588
0,2.426662741114876
1,2.3667787010376706
2,1.5655150414184802
3,2.0693256761264505
0,0.1629500147193914
1,-0.42651052130322614
2,-0.7727305823920169
3,0.43019925590077973
4,-0.15049394910736294
5,-0.995370303003817
6,-0.6642330960551731
0,-0.8895560655573516
1,-1.2380466885404093
2,-1.062436343941393
3,-0.782812261581914
4,-1.020254238343848
0,-0.9102942382623876
1,-0.9340132669825507
2,-0.8927197371869601
3,-0.8393596779507836
4,-1.0337595703833546
5,-0.9697058638867776
0,-0.7780434637818732
