episode,time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10
9,0.5400000000000003,0.0,0.0,0.1987564973651888,1.5508267178723605,-0.09255415623493493,0.0,0.0,-0.13701291525031475,-2.3710936103260436,0.1561871283911531
0,0.02,0.0,0.0,0.08525799301457726,-0.014560470684948887,-0.01630398691578859,0.0,0.0,-0.09215878702122168,0.023775547453518456,-0.005443108731392825
0,0.5300000000000002,0.0,0.0,0.10734856011443672,1.6480534913824818,-0.08450281156539548,0.0,0.0,-0.1390976148905749,-1.5966323356289096,0.14074368103445664
1,0.45000000000000023,0.0,0.0,0.7936030387645796,-0.19549842939692133,-0.07761252614634255,0.0,0.0,-0.7665319965320755,0.14920548077892154,0.3208917303282074
2,0.24000000000000007,0.0,0.0,0.47033283085833705,-0.14351712402948272,-0.04457536581188243,0.0,0.0,-0.46245781428901334,0.12428849281679641,0.16435531674128775
3,0.060000000000000005,0.0,0.0,0.18862624815152343,-0.02936212509315095,-0.046776984152967785,0.0,0.0,-0.20145387711574664,0.046920634006163156,0.004799602636564789
3,0.5700000000000003,0.0,0.0,0.2253085985250696,1.5473079612204148,-0.16998685987875098,0.0,0.0,-0.23515743645489512,-1.5377293648927925,0.16424333611846853
4,0.47000000000000025,0.0,0.0,0.8305633176207573,-0.19838311647448786,-0.08093015828613478,0.0,0.0,-0.7994551676494646,0.14838076659087412,0.34318820147172513
5,0.25000000000000006,0.0,0.0,0.48483463053739945,-0.1480987157121634,-0.045405568866506915,0.0,0.0,-0.4756662790725956,0.1274996176379398,0.1725829637882566
6,0.060000000000000005,0.0,0.0,0.18862624815152343,-0.02936212509315095,-0.046776984152967785,0.0,0.0,-0.20145387711574664,0.046920634006163156,0.004799602636564789
6,0.5700000000000003,0.0,0.0,0.21944312734584331,1.587646948271519,-0.037545682519270346,0.0,0.0,-0.20655712801968393,-2.696157836044528,0.18479806358414552
7,0.48000000000000026,0.0,0.0,0.8492903132166991,-0.19968892883471231,-0.08260365882567847,0.0,0.0,-0.8167093663311802,0.14806678056748382,0.3533921534601567
8,0.26000000000000006,0.0,0.0,0.4990237650520335,-0.15250619524170236,-0.045319359511411875,0.0,0.0,-0.48854115951107957,0.13006925934994304,0.17858795026921123
9,0.08,0.0,0.0,0.2274001941748019,-0.039771638620525324,-0.05416609672417117,0.0,0.0,-0.24045723549977152,0.057053420373260486,0.018641142208515753
9,0.5900000000000003,0.0,0.0,1.4794339182416543,-1.3184299831121566,0.31660774792863583,0.0,0.0,-0.23546315203124507,-2.735151955003484,0.19344555515319453
10,0.09,0.0,0.0,0.2452122632491986,-0.04563838952450383,-0.05676756480046879,0.0,0.0,-0.2580635668385489,0.062209307811841946,0.0272976229739725
10,0.6000000000000003,0.0,0.0,0.3548025233897287,2.302997315674863,-0.2177209071738028,0.0,0.0,-0.26550729753139246,-2.7405361497893708,0.19864608119040514
